Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
gbm,1.341,1.676,1.529,1.526,0.089,bstTree,1.032,1.211,1.145,1.142,0.047,gbm,0.764,0.857,0.805,0.806,0.025
bstTree,1.352,1.676,1.548,1.535,0.086,cubist,1.006,1.213,1.152,1.144,0.051,xgbTree,0.764,0.854,0.802,0.806,0.026
xgbTree,1.349,1.682,1.539,1.529,0.091,gbm,1.034,1.214,1.138,1.139,0.047,bstTree,0.763,0.854,0.804,0.804,0.025
blackboost,1.359,1.683,1.589,1.557,0.087,xgbTree,1.037,1.215,1.143,1.144,0.049,monmlp,0.763,0.859,0.808,0.808,0.026
monmlp,1.32,1.686,1.513,1.519,0.094,monmlp,1.038,1.219,1.15,1.143,0.05,brnn,0.762,0.853,0.803,0.803,0.026
brnn,1.329,1.693,1.549,1.537,0.091,qrnn,1.047,1.223,1.164,1.148,0.049,blackboost,0.762,0.854,0.795,0.801,0.027
cubist,1.322,1.706,1.583,1.573,0.102,ctree2,1.025,1.235,1.152,1.15,0.051,ctree2,0.757,0.844,0.791,0.796,0.025
qrnn,1.35,1.708,1.561,1.555,0.093,ctree,1.029,1.235,1.153,1.15,0.052,qrnn,0.757,0.854,0.798,0.8,0.026
ctree2,1.395,1.725,1.581,1.568,0.092,blackboost,1.062,1.239,1.182,1.172,0.046,ctree,0.757,0.844,0.791,0.795,0.026
treebag,1.373,1.729,1.552,1.553,0.092,knn,1.1,1.259,1.206,1.195,0.049,treebag,0.753,0.852,0.802,0.8,0.026
ctree,1.394,1.735,1.59,1.573,0.095,brnn,1.057,1.27,1.192,1.179,0.053,cubist,0.752,0.859,0.791,0.796,0.027
gam,1.387,1.754,1.593,1.578,0.088,M5,1.028,1.276,1.152,1.152,0.066,bam,0.744,0.841,0.791,0.793,0.026
bam,1.387,1.754,1.593,1.578,0.088,treebag,1.074,1.282,1.197,1.187,0.05,gam,0.744,0.841,0.791,0.793,0.026
rpart,1.407,1.763,1.579,1.584,0.09,gam,1.101,1.293,1.208,1.199,0.049,rpart,0.744,0.841,0.789,0.792,0.026
rpart1SE,1.407,1.763,1.579,1.589,0.095,bam,1.101,1.293,1.208,1.199,0.049,rpart1SE,0.744,0.841,0.789,0.79,0.027
rpart2,1.407,1.763,1.578,1.586,0.096,rpart,1.082,1.312,1.208,1.204,0.053,rpart2,0.744,0.839,0.791,0.791,0.027
gamLoess,1.467,1.791,1.649,1.633,0.086,rpart1SE,1.082,1.317,1.208,1.209,0.057,knn,0.736,0.821,0.776,0.774,0.027
knn,1.503,1.819,1.666,1.656,0.087,rpart2,1.082,1.317,1.208,1.207,0.057,gamLoess,0.733,0.83,0.775,0.778,0.025
gamboost,1.489,1.885,1.71,1.708,0.091,gamLoess,1.164,1.335,1.269,1.259,0.047,partDSA,0.707,0.788,0.75,0.745,0.024
partDSA,1.585,1.892,1.75,1.753,0.079,RRF,1.171,1.375,1.265,1.274,0.049,gamboost,0.706,0.815,0.76,0.76,0.027
