Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
monmlp,1.463,1.819,1.659,1.65,0.085,ctree2,1.07,1.254,1.175,1.172,0.046,monmlp,0.73,0.821,0.77,0.774,0.024
gbm,1.432,1.871,1.665,1.66,0.091,M5,1.085,1.258,1.188,1.184,0.049,gbm,0.715,0.821,0.771,0.772,0.027
xgbTree,1.441,1.88,1.654,1.662,0.093,cubist,1.085,1.273,1.174,1.174,0.052,xgbTree,0.713,0.82,0.768,0.771,0.026
bstTree,1.441,1.881,1.673,1.667,0.092,bstTree,1.093,1.275,1.183,1.185,0.044,bstTree,0.712,0.818,0.768,0.769,0.027
brnn,1.521,1.881,1.681,1.674,0.091,gbm,1.094,1.282,1.187,1.191,0.045,ctree2,0.711,0.801,0.763,0.761,0.024
blackboost,1.435,1.883,1.69,1.677,0.091,xgbTree,1.1,1.283,1.193,1.193,0.044,brnn,0.71,0.804,0.769,0.767,0.026
ctree2,1.498,1.891,1.698,1.7,0.086,blackboost,1.097,1.29,1.2,1.206,0.044,blackboost,0.708,0.824,0.763,0.769,0.028
treebag,1.482,1.902,1.681,1.689,0.096,monmlp,1.138,1.294,1.215,1.221,0.04,treebag,0.708,0.809,0.765,0.763,0.028
cubist,1.538,1.93,1.734,1.714,0.098,ctree,1.104,1.303,1.206,1.194,0.051,qrnn,0.706,0.813,0.752,0.759,0.028
ctree,1.534,1.932,1.722,1.719,0.084,treebag,1.109,1.305,1.221,1.215,0.046,cubist,0.705,0.808,0.754,0.759,0.027
gam,1.53,1.935,1.729,1.725,0.089,qrnn,1.087,1.306,1.225,1.223,0.056,bam,0.702,0.793,0.754,0.753,0.025
bam,1.53,1.935,1.729,1.725,0.089,rpart1SE,1.148,1.335,1.224,1.228,0.05,gam,0.702,0.793,0.754,0.753,0.025
M5,1.538,1.956,1.726,1.73,0.102,rpart2,1.148,1.335,1.224,1.228,0.05,ctree,0.699,0.799,0.751,0.755,0.026
bagEarth,1.649,1.96,1.84,1.823,0.081,rpart,1.148,1.335,1.227,1.234,0.055,M5,0.694,0.808,0.749,0.754,0.027
qrnn,1.454,1.964,1.704,1.716,0.114,knn,1.147,1.341,1.234,1.239,0.054,bagEarth,0.688,0.762,0.721,0.725,0.024
